id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
899668,Casa de campo en la Costa Brava,553059,Laura,,Llagostera,41.84193,2.95137,Entire home/apt,189,2,11,11/1/21,0.14,5,357,4,
903777,Apartemento en la Costa Brava,4597849,Ofelia,,Castell-Platja d'Aro,41.80013,3.04111,Entire home/apt,67,6,35,8/14/21,0.34,1,363,4,HUTG-048239
912211,Chalet with garden in Costa Brava,4894695,Laura,,Santa Cristina d'Aro,41.80946,2.99019,Entire home/apt,200,5,3,8/19/16,0.03,1,364,0,
913541,Lovely  apartment in Girona center 3 BR Netflix,4903781,Montserrat,,Girona,41.97348,2.82215,Entire home/apt,58,3,162,12/23/21,1.51,2,230,14,HUTG-013046l
927257,CAN L'HOSPITALET,4989432,Maria,,Sant Ferriol,42.21289,2.68552,Entire home/apt,457,2,14,8/1/21,0.13,2,345,1,HUTG-005669
929857,"House with private pool, terrace",5007417,Jordi,,Torroella de Montgrí,42.05805,3.19907,Entire home/apt,215,2,22,8/27/21,0.25,3,217,3,
930193,"Lovely apartment,Calella palafrugel",5010327,Marc,,Palafrugell,41.89157,3.18713,Entire home/apt,140,5,47,8/8/21,0.45,2,350,3,HUTG- 15851
934350,Beautiful House with Pool and Beach 50 meters,4673797,Nikodin,,Calonge,41.84131,3.09432,Entire home/apt,250,10,3,8/18/19,0.07,1,304,0,
934823,3 Floors Luxurious Villa Costa Brav,5043625,Alexander,,Lloret de Mar,41.71743,2.86843,Entire home/apt,400,7,25,8/26/21,0.27,1,317,3,HUTB-015976
938593,"Seaside apartment, modern and cozy",4063764,M√≤nica,,Castell-Platja d'Aro,41.81357,3.06445,Entire home/apt,106,7,11,7/20/21,0.11,2,365,1,HUTG-016570
939378,Canyelles Mar - Luxury  apartment A-1 beach/ pool,5074486,Eveline,,Roses,42.24624,3.1975,Entire home/apt,100,7,7,7/31/21,0.11,2,274,1,HUTG-159073
941444,'Masia Catalana' s.XVIII    Jardins,5007417,Jordi,,Forallac,41.9469,3.07334,Entire home/apt,640,2,11,7/3/21,0.12,3,345,2,
